cnn_per_mw,Smiles
-0.0169172647369926,[H]c1c([H])c(S(=O)(=O)N([H])[C@]([H])(c2c([H])c([H])c(=O)n([H])c2[H])N([H])C([H])([H])[H])c([H])c([H])c1C([H])([H])[H]
-0.0132317521194993,[H]c1c(C2([H])C([H])([H])C2([H])[H])nc(C([H])([H])[C@@]([H])(C([H])([H])C(F)(F)F)[C@@]([H])(c2c([H])c(SC([H])([H])C([H])([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])n([H])c2=O)C([H])([H])[H])c([H])c1C([H])([H])[H]
-0.017596834049474,[H]C([H])=C([H])[C@@]([H])(O[C@]1([H])C([H])([H])[C@@]1([H])c1c([H])c([H])c([H])n([H])c1=O)c1c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c1[H]
-0.0200162244703187,[H]C([H])=C([H])C([H])([H])O[C@]1([H])C([H])([H])[C@@]1([H])c1c([H])c([H])c([H])n([H])c1=O
-0.0201065323167964,[H]C([H])=C([H])C([H])([H])[C@]1([H])C([H])([H])[C@]1([H])c1c([H])c(-c2c([H])nc([H])c3c([H])c([H])c([H])c([H])c23)c([H])n([H])c1=O
-0.0182917157315171,[H]c1nc(-n2c([H])c([H])c([H])c([C@](C([H])([H])[H])(C([H])(F)F)[C@@]([H])(c3c([H])c([H])c([H])n3[H])C([H])([H])[H])c2=O)n([H])c1[H]
-0.0239302029798058,[H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])[H]
-0.0174964152861097,[H]c1nc([C@@]2([H])C([H])([H])[C@@]2([H])c2c([H])c(OC([H])([H])C3([H])C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c([H])n([H])c2=O)n([H])c1[H]
-0.0122366503538895,[H]C#Cc1c2c(c([H])c(Br)c1[C@]([H])(c1c([H])nc([H])c([H])c1[H])N([H])[C@]([H])(c1c(C([H])(F)F)c([H])c(=O)n([H])c1[H])N([H])C([H])([H])[H])OC([H])([H])O2
-0.0137945273581364,[H]c1nc([H])c([C@@]([H])(c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)N([H])[C@]([H])(c2c(C([H])(F)F)c([H])c(=O)n([H])c2[H])N([H])C([H])([H])[H])c([H])c1[H]
-0.0240576301978199,[H]c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
-0.0144405428640775,[H]c1sc(C([H])([H])[H])nc1[C@]([H])(Sc1c([H])c([H])n([H])c(=O)c1[H])c1c([H])c([H])c([H])c(Cl)c1N([H])c1c([H])c([H])c(F)c([H])c1[H]
