cnn_per_mw,Smiles
-0.0186722133295808,[H]OC([H])([H])C(c1c([H])c(S[H])c(-c2c([H])c([H])c([H])c(C([H])([H])N([H])[H])c2[H])c(=O)n1[H])(C([H])([H])[H])C([H])([H])[H]
-0.018084900753918,[H]Sc1c(N2C(=O)C([H])=C(N([H])N([H])[H])C2=O)c([H])n([H])c(=O)c1[H]
-0.0105544231617915,[H]C1=C([H])C(=O)N([C@@]([H])(c2c([H])c([H])c(=O)n([H])c2[H])N([H])C([H])([H])c2c([H])c([H])c([H])c(N([H])S(=O)(=O)c3c([H])c([H])c([H])c(-c4c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c4[H])c3[H])c2Cl)C1=O
-0.0210810585769994,[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n([H])c(=O)c1[H]
-0.0148617594343338,[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c(=O)c1Br
-0.0171984989885285,[H]Sc1c(N2C([H])([H])C([H])(C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C2([H])[H])c(C(F)(F)F)n([H])c(=O)c1[H]
-0.0285041923228088,[H]Sc1c([H])c([H])n([H])c(=O)c1[H]
-0.0169176104370123,[H]OC([H])([H])C(c1c(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c(S[H])c(-c2c([H])c([H])c([H])c(C([H])([H])N([H])[H])c2[H])c(=O)n1[H])(C([H])([H])[H])C([H])([H])[H]
-0.0127588567411769,[H]OC([H])([H])C(c1c(N(C([H])([H])C([H])([H])[H])[C@@]([H])(c2nc([H])c(C(F)(F)F)c([H])c2[H])C([H])([H])[H])c(S[H])c(-c2c([H])c([H])c([H])c(C([H])([H])N([H])[H])c2[H])c(=O)n1[H])(C([H])([H])[H])C([H])([H])[H]
-0.0196273731656761,[H]c1c([H])c([H])c(C([H])([H])Sc2c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c(=O)n2[H])c([H])c1[H]
-0.0135941933371101,[H]Sc1c(N2C(=O)C([H])=C(C([H])([H])OC([H])([H])[H])C2=O)c(N([H])S(=O)(=O)c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])n([H])c(=O)c1[H]
-0.0236582872543097,[H]Sc1c(N2C([H])([H])C([H])([H])C2([H])[H])c([H])n([H])c(=O)c1[H]
-0.0132191957470834,[H]N=C(N([H])[H])N1C([H])([H])C([H])([H])C(c2c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c2[H])(c2c(S[H])c(-c3c([H])c([H])c([H])c(C([H])([H])N([H])[H])c3[H])c(=O)n([H])c2[H])C([H])([H])C1([H])[H]
-0.0135974403181724,[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])n1c(N([H])S(=O)(=O)N([H])[H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])[C@]([H])(C([H])([H])[H])S(=O)(=O)N([H])[H])c1=O
-0.0173060074776834,[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n([H])c(=O)c1Br
-0.0126801371460368,[H]c1c([H])c([H])c(S(=O)(=O)N([H])c2c([H])c([H])c([H])c(C([H])([H])N(C([H])([H])c3c([H])c([H])c([H])c(F)c3[H])C([H])([H])c3c([H])c([H])c(=O)n([H])c3[H])c2Cl)c([H])c1[H]
-0.0137316463917268,[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])n1c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])[C@]([H])(C([H])([H])[H])S(=O)(=O)N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c1=O
-0.0141329002307247,[H]c1nc([H])c([H])c([C@]([H])(C([H])([H])c2c([H])nc(OC([H])([H])[H])c([H])c2[H])[C@@]([H])(c2c([H])c([H])c(SC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])n([H])c2=O)C([H])([H])[H])c1[H]
-0.0123048276081703,[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])n1c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])[C@]([H])(C([H])([H])[H])S(=O)(=O)N([H])c2c([H])c([H])c(OC(N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c1=O
-0.0175994087820499,[H]C(=C([H])C([H])([H])Sc1c([H])c([H])n([H])c(=O)c1C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H]
-0.0138029029629947,[H]Sc1c([H])c([H])n([H])c(=O)c1-c1c([H])c(C([H])([H])N([H])[H])c([H])c(-c2c([H])c([H])c([H])c([H])c2C#N)c1N1C([H])([H])C([H])([H])N(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H]
-0.0124258643256717,[H]C1=C([H])C(=O)N([C@@]([H])(c2c([H])c([H])c(=O)n([H])c2[H])N([H])C([H])([H])c2c([H])c([H])c([H])c(N([H])S(=O)(=O)c3c([H])c([H])c([H])c([H])c3[H])c2Cl)C1=O
-0.0170945470880043,[H]OC([H])([H])C([H])([H])N([H])C([H])([H])n1c(C(F)(F)F)c(N2C([H])([H])C([H])([H])C2([H])[H])c(S[H])c([H])c1=O
-0.0130308110496129,[H]c1nc(C([H])([H])[C@@]([H])(C([H])([H])C(F)(F)F)[C@@]([H])(c2c([H])c(SC([H])([H])C([H])([H])[H])c([H])n([H])c2=O)C([H])([H])[H])c([H])c(C([H])([H])c2c([H])c([H])c([H])c(OC(F)(F)F)c2[H])c1[H]
-0.0116609061446599,[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])n1c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])[C@]([H])(C([H])([H])[H])S(=O)(=O)N([H])c2c([H])c([H])c(O[C@]([H])(C([H])([H])[H])C([H])([H])N([H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])c([H])c2[H])c1=O
-0.0117519362223773,[H]c1c([H])c(-c2nc(N([H])c3c([H])c([H])c(F)c([H])c3[H])c(-c3c([H])c([H])c([H])n3-c3c(SC([H])([H])c4c([H])c([H])c([H])c(Cl)c4[H])c([H])c([H])n([H])c3=O)o2)c([H])c(C(F)(F)F)c1[H]
-0.0136745327896263,[H]c1c([H])c([H])c(S(=O)(=O)N([H])c2c([H])c([H])c([H])c(C([H])([H])N([H])C([H])([H])c3c([H])c([H])c(=O)n([H])c3[H])c2Cl)c([H])c1[H]
-0.0120771934491013,[H]OC([H])([H])[C@]([H])(N([H])C([H])([H])[C@@]([H])(c1nc([H])c([H])c([H])c1C(F)(F)F)C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])[H])[C@]1([H])C([H])([H])C([H])([H])OC([H])([H])[C@@]1([H])C([H])([H])c1c([H])c([H])c(F)c([H])c1[H]
-0.0133090222050667,[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c(C([H])([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])n(-c2c(F)nc([H])c(OC([H])([H])[H])c2[H])c(=O)c1[H]
-0.0133060593878339,[H]Sc1c([H])c([H])n(N2C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[C@@]2([H])c2c([H])c([H])c(C#N)c(-c3c([H])c([H])c(F)c([H])c3C3=C([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c2[H])c(=O)c1[H]
-0.0136029622613637,[H]C1=C([H])C(=O)N(c2c(N3C([H])([H])C([H])([H])O[C@@]([H])([C@]4([H])C([H])([H])C([H])([H])N([H])[C@]4([H])N4C([H])([H])C([H])([H])C([H])(N5C([H])([H])C([H])([H])C([H])([H])C5([H])[H])C([H])([H])C4([H])[H])C3([H])[H])c([H])c([H])n([H])c2=O)C1=O
-0.0132101046461621,[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c2[H])c(=O)c1Br
-0.0125264522750997,[H]Sc1c(N2C(=O)C([H])=C(C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])[C@]3([H])c3c([H])n([H])c4c([H])c([H])c([H])c([H])c34)C2=O)c(C([H])([H])N([H])c2c([H])c([H])c([H])c([H])c2[H])n([H])c(=O)c1[H]
-0.0190431646520923,[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])n1c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c1=O
-0.0128656003960476,[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])n1c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])[C@]([H])(C([H])([H])[H])S(=O)(=O)N([H])c2c([H])c([H])c(OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c1=O
-0.0126314036638049,[H]c1nc([H])c([H])c([C@]([H])(C([H])([H])c2c([H])nc(OC([H])([H])N(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[H])c([H])c2[H])[C@@]([H])(c2c([H])c([H])c(SC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])n([H])c2=O)C([H])([H])[H])c1[H]
